codigo_distrito_zona;lenLista;gridcode;gid;latitud_zona;longitud_zona
1;1;3;17;39,369430385348780;-,326591116130791
2;2;3;17;39,369430385348780;-,326591116130791
9;9;3;17;39,369430385348780;-,326591116130791
10;10;3;17;39,369430385348780;-,326591116130791
19;19;3;17;39,369430385348780;-,326591116130791
15;20;3;27;39,535095016414246;-,350546071679756
6;39;4;33;39,474771663615000;-,366327697019692
16;58;4;35;39,499687471554280;-,392908303007046
19;77;5;37;39,351593375839734;-,317930997221811
10;96;5;40;39,445148737461420;-,353825284526809
16;115;5;41;39,497544543240050;-,388600971495833
14;134;5;42;39,488977401574914;-,358761873043406
10;153;5;43;39,437541246619170;-,366508668949003
9;172;5;44;39,451907981871200;-,386341953829360
3;191;5;45;39,468718767673010;-,384478782796093
4;210;6;50;39,485349007183310;-,396559776789248
19;229;1;2;39,366890756134870;-,323739263825403
2;248;2;12;39,470041572768670;-,369777960161439
6;267;2;13;39,477018779365330;-,361490357742887
5;286;2;14;39,485940543405270;-,378903228278941
19;305;1;1;39,342703829752170;-,320031600526290
10;324;1;3;39,451725669521416;-,371101696944578
6;343;1;4;39,470869558838140;-,365170624651526
5;362;1;5;39,488259646266970;-,383945888650393
10;381;2;10;39,453580770643825;-,356017623174956
2;400;2;11;39,463149016055570;-,365471542911556
10;419;3;20;39,451943046981334;-,352795197124104
6;438;3;23;39,475539033281386;-,366606296205073
5;457;3;25;39,488079806792980;-,379400261139913
16;476;3;26;39,502041294985610;-,390171948289337
9;495;4;29;39,437742825456176;-,376802377294137
10;514;4;30;39,447811552477770;-,368189367921269
2;533;4;31;39,458756608174890;-,362654403605616
13;552;4;36;39,469848825659970;-,333886556282732
6;571;5;46;39,479196950904790;-,366265279219377
9;590;6;48;39,446597633012470;-,400880387315025
10;609;6;49;39,439975166335550;-,363610629922085
6;628;6;51;39,476830954169635;-,359650049109100
15;647;1;6;39,520737180512974;-,380322552417865
19;666;2;7;39,353627468154600;-,320466006314305
10;704;2;9;39,443118048335485;-,369317747956642
16;723;2;15;39,498762630987190;-,387661099896294
15;742;2;16;39,524311389761680;-,372451369523512
10;761;3;18;39,430306540041510;-,368658805292215
2;799;3;21;39,462957994595065;-,373593099236930
6;837;3;24;39,478129114416830;-,364096265566676
19;856;4;28;39,373982024862450;-,326719211279505
2;875;4;32;39,467150387515890;-,367900183927001
16;894;4;34;39,486340067841580;-,389312618018965
11;913;5;38;39,451167962896640;-,333433502432233
2;932;5;39;39,455983078720850;-,373717827234409
16;951;5;47;39,497810913022440;-,399521955602445
12;970;6;52;39,467565232069590;-,334936579268139
