nombre_distrito;codigo_distrito;poblacion_total;area_km2
Ciutat Vella;1;30510;169
L'Eixample;2;45236;173,3
Extramurs;3;51375;197,2
Campanar;4;41713;523,8
La Saïdia;5;48791;194,4
El Pla del Real;6;31206;169,3
L'Olivereta;7;52319;198,9
Patraix;8;60087;287,2
Jesus;9;54305;298,5
Quatre Carreres;10;83333;1132,5
Poblats Marítims;11;57715;978,3
Camins al Grau;12;67939;236,7
Algirós;13;36632;295,9
Benimaclet;14;28716;157
Rascanya;15;58079;262,9
Benicalap;16;50967;221,6
Pobles del Nord;17;7180;1519,6
Pobles del l'Oest;18;15589;201,1
Pobles del Sud;19;22732;6617,6
